studentID,name,birthDate,address,schoolCode,"P5_subject_scores (Chi,Eng,Math,GS,VA,Music,PE)","P6_subject_scores (Chi,Eng,Math,GS,VA,Music,PE)",applicationID,choicePartB (Top 3 Choices)
KT2025001,Chan Tai Man,5/12/2013,45 Lam Tin Road,KTPS001,"75,78,92,88,75,80,90","42,82,95,90,78,85,92",APP2025001,"KTSS001,KTSS005,KTSS012,KTSS003,KTSS008,KTSS010,KTSS015,KTSS002,KTSS007,KTSS009,KTSS014,KTSS016,KTSS004,KTSS011,KTSS013,KTSS017,KTSS018,KTSS019,KTSS020,KTSS006"
KT2025002,Lee Siu Ming,8/23/2013,12 Ngau Tau Kok Rd,KTPS002,"72,85,80,76,82,78,85","75,88,84,80,85,80,88",APP2025002,"KTSS008,KTSS003,KTSS010,KTSS001,KTSS005,KTSS012,KTSS015,KTSS002,KTSS007,KTSS009,KTSS014,KTSS016,KTSS004,KTSS011,KTSS013,KTSS017,KTSS018,KTSS019,KTSS020,KTSS006"
KT2025003,Wong Mei Ling,2/17/2013,8 Yau Tong Bay,KTPS003,"90,92,87,85,88,90,92","92,95,90,88,92,93,95",APP2025003,"KTSS005,KTSS001,KTSS007,KTSS003,KTSS008,KTSS010,KTSS015,KTSS002,KTSS009,KTSS014,KTSS016,KTSS004,KTSS011,KTSS013,KTSS017,KTSS018,KTSS019,KTSS020,KTSS006,KTSS012"
KT2025004,Ho Ka Lok,11/30/2013,15 Kwun Tong Rd,KTPS004,"68,72,65,70,60,65,75","70,75,68,73,65,70,78",APP2025004,"KTSS012,KTSS002,KTSS009,KTSS001,KTSS005,KTSS003,KTSS008,KTSS010,KTSS015,KTSS007,KTSS014,KTSS016,KTSS004,KTSS011,KTSS013,KTSS017,KTSS018,KTSS019,KTSS020,KTSS006"
KT2025005,Cheung Wai,7/5/2013,23 Lei Yue Mun,KTPS005,"78,80,85,82,75,78,80","82,85,88,85,80,82,85",APP2025005,"KTSS003,KTSS006,KTSS011,KTSS001,KTSS005,KTSS012,KTSS008,KTSS010,KTSS015,KTSS002,KTSS007,KTSS009,KTSS014,KTSS016,KTSS004,KTSS011,KTSS013,KTSS017,KTSS018,KTSS019"
KT2025006,Lau Tin Yau,4/19/2013,30 Hoi Yuen Road,KTPS006,"88,90,92,89,85,88,90","90,93,95,92,88,90,93",APP2025006,"KTSS001,KTSS004,KTSS008,KTSS005,KTSS012,KTSS003,KTSS010,KTSS015,KTSS002,KTSS007,KTSS009,KTSS014,KTSS016,KTSS004,KTSS011,KTSS013,KTSS017,KTSS018,KTSS019,KTSS020"
KT2025007,Yeung Lok,9/27/2013,5 Tsui Ping Rd,KTPS007,"75,72,78,80,70,65,72","78,75,82,85,75,70,78",APP2025007,"KTSS010,KTSS015,KTSS002,KTSS001,KTSS005,KTSS012,KTSS003,KTSS008,KTSS007,KTSS009,KTSS014,KTSS016,KTSS004,KTSS011,KTSS013,KTSS017,KTSS018,KTSS019,KTSS020,KTSS006"
KT2025008,Cheung Hiu,1/14/2013,18 Kowloon Bay,KTPS008,"92,88,95,90,85,88,92","95,90,98,93,90,92,95",APP2025008,"KTSS004,KTSS001,KTSS005,KTSS012,KTSS003,KTSS008,KTSS010,KTSS015,KTSS002,KTSS007,KTSS009,KTSS014,KTSS016,KTSS011,KTSS013,KTSS017,KTSS018,KTSS019,KTSS020,KTSS006"
KT2025009,Lam Tsz,12/8/2013,7 Sau Mau Ping,KTPS009,"65,70,68,72,60,62,70","68,75,72,78,65,68,75",APP2025009,"KTSS015,KTSS012,KTSS007,KTSS001,KTSS005,KTSS003,KTSS008,KTSS010,KTSS002,KTSS009,KTSS014,KTSS016,KTSS004,KTSS011,KTSS013,KTSS017,KTSS018,KTSS019,KTSS020,KTSS006"
KT2025010,Ng Ka Fai,6/21/2013,9 Kwun Tong Bypass,KTPS010,"80,85,88,82,78,80,85","85,88,92,85,82,85,88",APP2025010,"KTSS007,KTSS003,KTSS009,KTSS001,KTSS005,KTSS012,KTSS008,KTSS010,KTSS015,KTSS002,KTSS014,KTSS016,KTSS004,KTSS011,KTSS013,KTSS017,KTSS018,KTSS019,KTSS020,KTSS006"
KT2025011,Cheng Ho Yin,3/11/2013,14 Lam Tin Estate,KTPS011,"82,85,90,88,80,78,85","85,88,93,90,85,82,88",APP2025011,"KTSS006,KTSS001,KTSS005,KTSS012,KTSS003,KTSS008,KTSS010,KTSS015,KTSS002,KTSS007,KTSS009,KTSS014,KTSS016,KTSS004,KTSS011,KTSS013,KTSS017,KTSS018,KTSS019,KTSS020"
KT2025012,Wong Siu Lung,10/22/2013,25 Ngau Tau Kok,KTPS012,"70,75,72,78,65,68,75","73,78,75,82,70,72,78",APP2025012,"KTSS009,KTSS002,KTSS007,KTSS001,KTSS005,KTSS012,KTSS003,KTSS008,KTSS010,KTSS015,KTSS014,KTSS016,KTSS004,KTSS011,KTSS013,KTSS017,KTSS018,KTSS019,KTSS020,KTSS006"
KT2025013,Yip Chun Hei,7/30/2013,11 Kwun Tong Road,KTPS013,"85,80,88,82,75,78,80","88,85,92,85,80,82,85",APP2025013,"KTSS011,KTSS013,KTSS017,KTSS001,KTSS005,KTSS012,KTSS003,KTSS008,KTSS010,KTSS015,KTSS002,KTSS007,KTSS009,KTSS014,KTSS016,KTSS004,KTSS018,KTSS019,KTSS020,KTSS006"
KT2025014,Leung Tsz Yan,5/8/2013,19 Yau Tong Estate,KTPS014,"90,88,92,89,85,88,90","93,90,95,92,88,90,93",APP2025014,"KTSS014,KTSS016,KTSS004,KTSS001,KTSS005,KTSS012,KTSS003,KTSS008,KTSS010,KTSS015,KTSS002,KTSS007,KTSS009,KTSS011,KTSS013,KTSS017,KTSS018,KTSS019,KTSS020,KTSS006"
KT2025015,Tam Wai Kit,9/15/2013,6 Kowloon Bay Plaza,KTPS015,"78,82,85,80,75,78,82","82,85,88,85,80,82,85",APP2025015,"KTSS016,KTSS004,KTSS011,KTSS001,KTSS005,KTSS012,KTSS003,KTSS008,KTSS010,KTSS015,KTSS002,KTSS007,KTSS009,KTSS014,KTSS013,KTSS017,KTSS018,KTSS019,KTSS020,KTSS006"
KT2025016,Chow Mei Ling,2/28/2013,3 Lam Tin Bypass,KTPS016,"88,90,92,89,85,88,90","90,93,95,92,88,90,93",APP2025016,"KTSS013,KTSS017,KTSS018,KTSS001,KTSS005,KTSS012,KTSS003,KTSS008,KTSS010,KTSS015,KTSS002,KTSS007,KTSS009,KTSS014,KTSS016,KTSS004,KTSS011,KTSS019,KTSS020,KTSS006"
